,,,,,,
Talk Table,,,,,,
대화 ID,대사 순서,대사 식별,표시할 이름,왼쪽 캐릭터의 이미지 ID,오른쪽 캐릭터 이미지 ID,"대사
(줄넘김 사용)"
DialogueId,Order,ID,Name,CharacterLeftImageID,CharacterRightImageID,Line
10,0,,카우딘,,,...
10,1,,카우딘,,,호로몬에 따른 뇌파의 변화 반응 연구'
10,2,,카우딘,,,"캐스, 이건 이름만 봐도 수상해보이는 임상실험인데?"
10,3,,캐스,,,재밌어 보이지 않아?
10,4,,캐스,,,TV에서만 보던 뇌파분석장치를 직접 착용해볼거같아
10,5,,캐스,,,그리고 수당도 두둑히 준다고
,,,카우딘,,,수당이 문제가 아니라 뇌랑 관련된 임상실험인거잖아
,,,카우딘,,,너무 위험해
,,,캐스,,,그치만
,,,캐스,,,나는 운이 좋으니까 어떻게든 되지않을까?
,,,캐스,,,그리고 무슨일이 생겨도 명탐정 카우딘이 찾아주겠지.
,,,카우딘 머쓱,,,뭔소릴 하는거야
,,,카우딘,,,탐정 지망생을 너무 믿는거아냐? 
,,,카우딘,,,...
,,,카우딘,,,
,,,캐스 메세지,,,나 임상실험 하러왔는데 여기 완전 신기해
,,,카우딘 메세지,,,뭐야 진짜 갔어?
,,,캐스 메세지,,,사진
,,,카우딘 메세지,,,진짜네?
,,,캐스 메세지,,,내일까진 여기 연구소에 있어야한데
,,,캐스 메세지,,,수당도 많이주는데 받으면 한턱 쏜다
,,,카우딘 메세지,,,오 좋다.
,,,카우딘 독백,,,그러나 캐스는 사진만 남긴채 실종됐다.
,,,카우딘 독백,,,캐스를 찾기 위해 여러 노력을 해봤지만 한달넘게 연락이 안되게 사라졌다.
,,,카우딘 독백,,,그렇게 기억에 잊혀질 때 쯤 인터넷에 올라온 공고 하나를 보게 된다.
,,,카우딘 독백,,,뇌파를 형상화한 가상 공간 세계 프로토타입 장비 임상 실험'
,,,카우딘 독백,,,휴먼 아키텍처 연구소라는 처음 들어보는 연구소에서 올라온 공고였다.
,,,카우딘 독백,,,해당 연구소에 대해 조사해봤으나 일상생활에 도움이 되는 최첨단 장비를 개발하는 곳으로 보일 뿐
,,,카우딘 독백,,,딱히 친구가 있을만한 정보는 안보였다.
,,,카우딘 독백,,,임상실험의 내용은 연구소에서 개발한 새로운 장비를 착용해서 테스트 해보는것 같았다.
,,,카우딘 독백,,,위험한 실험같아보이지만 친구를 찾으려면 이 방법밖에 없다.
,,,카우딘 독백,,,그렇게 여기까지 오게 되었다.
,,,,,,
,,,게임 시스템,,,연구소로 가자.
,,,,,,
,,,카우딘,,,실례합니다. 여기가 휴먼 아키텍처 연구소가 맞나요?
,,,루이스,,,…
,,,카우딘 독백,,,내 말이 안들렸나?
,,,카우딘,,,저기 안녕하세요!
,,,루이스,,,…
,,,카우딘 독백,,,분명 들렸을텐데.. 이상하네?
,,,카우딘,,,저기요! 저는 헬리오 연구소장님이 불러서 왔어요!
,,,루이스,,,…
,,,루이스,,,연구소에 외부인은 초대받은 사람만 들어 올 수 있습니다.
,,,카우딘 독백,,,초대받은 손님이라..
,,,게임 시스템,,,단서시스템을 통해 초대받은 손님이라는 것을 증명하자
,,,루이스,,,…
,,,루이스,,,잠시만 기다려주십쇼.
,,,레시아,,,루이스! 진짜 답답하네 이 분은 중요한 분이에요.
,,,카우딘 독백,,,연구소에 있을거라고는 생각이 안들게 밝아보이는 여자네.
,,,루이스,,,..알겠습니다.
,,,레시아,,,오래 기다리셨죠! 들어오세요.
,,,레시아,,,이쪽으로 오세요!
,,,레시아,,,휴먼 아키텍처 연구소에 오신 걸 환영해요. 엄청 넓죠?
,,,레시아,,,이 곳은 비밀 시설과 각종 연구소가 모여 있어서 엄청 넓어요.
,,,카우딘,,,정말 넓네요!
,,,레시아,,,그러고 보니 이름이 어떻게 되시나요?
,,,카우딘,,,카우딘이라고 합니다. 잘 부탁드려요.
,,,레시아,,,카우딘! 들어본적 없는 특이한 이름이네요.
,,,레시아,,,제 이름은 레시아구요. 잘 부탁드려요. 헤헤
,,,카우딘 독백,,,레시아 라는 이름도 들어본적은 없는데..
,,,레시아,,,그나저나 입구의 저 분 되게 별로지않나요?
,,,카우딘,,,네?
,,,레시아,,,저 분 제가 처음봤을 때부터 여러 번 인사드렸는데 무시하더라고요!
,,,레시아,,,너무 재수없어요. 출근 할때마다 저 사람만 보면 기분이 나빠져요.
,,,레시아,,,그래서 아빠한테 말할까? 하고 생각도 해봤는데 그냥 봐줄려고요.
,,,카우딘,,,아 네. 당황스럽긴 했죠.
,,,카우딘 독백,,,아빠한테 말한다니.. 어린 애같네.
,,,레시아,,,저희 아빠는 진짜 멋있는 사람이에요.
,,,레시아,,,그리고요. 여기 취직하는거 엄청힘든데 아빠덕분에 들어올 수 있었어요.
,,,카우딘 독백,,,방금 그건 낙하산인거 아냐?
,,,카우딘,,,아빠분이 대단한 분인가보네요.
,,,레시아,,,그럼요. 얘기하면긴데 엄청 대단한 아빠랍니다.
,,,레시아,,,여기가 저희 연구실이에요.
,,,밀비우스,,,레시아! 
,,,밀비우스,,,하아.. 또 실험 결과를 잘못 입력했잖아..
,,,레시아,,,앗! 밀비우스님 죄송해요.. 다시 정리할게요..
,,,밀비우스,,,맨날 이러면 피곤해. 그래서 이 사람은 누구?
,,,레시아,,,"아 이분은 카우딘, 연구소장님이 말씀하셨던 분이에요!"
,,,밀비우스,,,음.. 그런가. 나는 여기 연구원 밀비우스라고 해.
,,,카우딘,,,카우딘라고 합니다. 잘 부탁드려요.
,,,밀비우스,,,소장님이 나한테 연구소 소개를 맡겼는데..
,,,밀비우스,,,귀찮으니까 그냥 지도 파일을 전송해줄게.
,,,카우딘,,,아.. 제가 확인 해볼게요.
,,,밀비우스,,,휴게실에서 쉬고 있으면 연구소장님이랑 같이 갈게.
,,,카우딘,,,알겠습니다.
,,,밀비우스,,,그럼 이만.
,,,밀비우스,,,아니! 레시아!
,,,밀비우스,,,여기 또 실수가 있잖아!
,,,밀비우스,,,바이오 배터리 테스트 2단계 설계 부분에 빠트린게 있잖아
,,,밀비우스,,,하.. 여기 잘못되면 다 터지는거 몰라?
,,,레시아,,,죄송합니다..
,,,밀비우스,,,일딴 내가 빨리 수정할테니 너 하던거나 마저 해.
,,,레시아,,,...
,,,카우딘 독백,,,지금 여기에 있으면 안될거같아. 휴게실로 가자
,,,,,,
,,,클레디,,,오! 반가워요. 혹시 오늘 중요한 실험을 한다는 주인공이신가요?
